ant	short
insect	short
water drop	short
bullet	short
dice	short
bird	short
cup	short
shoe	short
bottle	short
mobile phone	short
table	short
chair	short
trash can	short
sofa	short
suitcase	short
human	short
horse	short
bookshelf	short
camel	short
door	short
apartment	short
theatre	short
giraffe	short
truck	short
street lamp	short
ant	tall
insect	tall
water drop	tall
bullet	tall
dice	tall
bird	tall
cup	tall
shoe	tall
bottle	tall
mobile phone	tall
table	tall
chair	tall
trash can	tall
sofa	tall
suitcase	tall
human	tall
horse	tall
bookshelf	tall
camel	tall
door	tall
apartment	tall
theatre	tall
giraffe	tall
truck	tall
street lamp	tall
