keyboard	heavy
airplane clock	heavy
big stapler	heavy
back scratcher	heavy
toy airplane	heavy
pliers	heavy
box of soap	heavy
sun chips	heavy
block	heavy
chip clip	heavy
gardening shears	heavy
screwdriver	heavy
15 puzzle	heavy
umbrella	heavy
small bowl	heavy
google cardboard	heavy
hammer	heavy
hair dryer	heavy
headphones	heavy
dust pan	heavy
disk drive	heavy
can opener	heavy
red lego brick	heavy
tape measure	heavy
rope bundle	heavy
little stapler	heavy
big bowl	heavy
baby shoe	heavy
safety razer	heavy
toaster	heavy
kitchen knife	heavy
lighter	heavy
bar of soap	heavy
wooden spoon	heavy
presentation remote	heavy
hat	heavy
wooden train track	heavy
twine	heavy
view master	heavy
mouse	heavy
swiss army knife	heavy
tv remote	heavy
pillow	heavy
drill	heavy
hose splitter	heavy
neck pillow	heavy
bottle brush	heavy
plate	heavy
green lego brick	heavy
keyboard	light
airplane clock	light
big stapler	light
back scratcher	light
toy airplane	light
pliers	light
box of soap	light
sun chips	light
block	light
chip clip	light
gardening shears	light
screwdriver	light
15 puzzle	light
umbrella	light
small bowl	light
google cardboard	light
hammer	light
hair dryer	light
headphones	light
dust pan	light
disk drive	light
can opener	light
red lego brick	light
tape measure	light
rope bundle	light
little stapler	light
big bowl	light
baby shoe	light
safety razer	light
toaster	light
kitchen knife	light
lighter	light
bar of soap	light
wooden spoon	light
presentation remote	light
hat	light
wooden train track	light
twine	light
view master	light
mouse	light
swiss army knife	light
tv remote	light
pillow	light
drill	light
hose splitter	light
neck pillow	light
bottle brush	light
plate	light
green lego brick	light
