Empire State Building	building with a large number of elevators
One World Trade Center	building with a large number of elevators
Willis Tower	building with a large number of elevators
The Shard	building with a large number of elevators
Montparnasse Tower	building with a large number of elevators
One Vanderbilt	building with a large number of elevators
875 North Michigan Avenue	building with a large number of elevators
Transamerica Pyramid	building with a large number of elevators
Salesforce Tower	building with a large number of elevators
4 World Trade Center	building with a large number of elevators
New York Times Building	building with a large number of elevators
Commerzbank Tower	building with a large number of elevators
Torre Latinoamericana	building with a large number of elevators
Citigroup Center	building with a large number of elevators
1 Wall Street Court	building with a large number of elevators
Aon Center	building with a large number of elevators
DC Towers	building with a large number of elevators
Torre Velasca	building with a large number of elevators
HSBC Building	building with a large number of elevators
Royal Liver Building	building with a large number of elevators
383 Madison Avenue	building with a large number of elevators
8 Canada Square	building with a large number of elevators
Seat of the European Central Bank	building with a large number of elevators
Turkish House	building with a large number of elevators
MOL Campus	building with a large number of elevators
World Trade Center Mexico City	building with a large number of elevators
Helmsley Building	building with a large number of elevators
200 West Street	building with a large number of elevators
General Electric Building	building with a large number of elevators
Torre Reforma	building with a large number of elevators
Sanno Park Tower	building with a large number of elevators
Tour Part-Dieu	building with a large number of elevators
The Squaire	building with a large number of elevators
Post Tower	building with a large number of elevators
Eurotower	building with a large number of elevators
ALICO Building	building with a large number of elevators
Tower 185	building with a large number of elevators
Torre Ejecutiva Pemex	building with a large number of elevators
Langer Eugen	building with a large number of elevators
Silberturm	building with a large number of elevators
Tour Bretagne	building with a large number of elevators
77 West Wacker Drive	building with a large number of elevators
Édifice Price	building with a large number of elevators
388 Greenwich Street	building with a large number of elevators
Penobscot Building	building with a large number of elevators
Fuller Building	building with a large number of elevators
One Court Square	building with a large number of elevators
Tour Areva	building with a large number of elevators
Nauru House	building with a large number of elevators
RSA Battle House Tower	building with a large number of elevators
IAC Building	building with a large number of elevators
195 Broadway	building with a large number of elevators
Tour T1	building with a large number of elevators
OpernTurm	building with a large number of elevators
Isozaki Atea	building with a large number of elevators
Bacardi Building (Havana)	building with a large number of elevators
Tour Oxygène	building with a large number of elevators
Collini-Center	building with a large number of elevators
Comerica Bank Tower	building with a large number of elevators
Tour Carpe Diem	building with a large number of elevators
Wells Fargo Center	building with a large number of elevators
Centro de Comercio Internacional	building with a large number of elevators
Chifley Tower	building with a large number of elevators
Tour Ariane	building with a large number of elevators
Telecom Italia Tower	building with a large number of elevators
Tour de Lille	building with a large number of elevators
Tour Granite	building with a large number of elevators
Wisma Nusantara	building with a large number of elevators
70 St Mary Axe	building with a large number of elevators
Tikal Futura	building with a large number of elevators
Tour Sequoia	building with a large number of elevators
Saigon Trade Center	building with a large number of elevators
Kajō Central	building with a large number of elevators
Stadttor	building with a large number of elevators
Tour Franklin	building with a large number of elevators
Manchester Unity Building	building with a large number of elevators
ELJ Communications Center	building with a large number of elevators
Safeco Plaza	building with a large number of elevators
Altus Skyscraper	building with a large number of elevators
Union Trust Building	building with a large number of elevators
administrative building of Nord/LB	building with a large number of elevators
1 Broadway	building with a large number of elevators
Torre Cuscatlán	building with a large number of elevators
111 South Wacker Drive	building with a large number of elevators
IBM Tower	building with a large number of elevators
Wells Fargo Center	building with a large number of elevators
IBC Tower	building with a large number of elevators
Frick Building	building with a large number of elevators
1 Cabot Square	building with a large number of elevators
Westin Building	building with a large number of elevators
Tour Égée	building with a large number of elevators
Shin Kokusai Building	building with a large number of elevators
Two International Place	building with a large number of elevators
Marathon House	building with a large number of elevators
Phelan Building	building with a large number of elevators
Tour Atlantique	building with a large number of elevators
Tour Swiss Life	building with a large number of elevators
Vero Centre	building with a large number of elevators
Hyatt Center	building with a large number of elevators
44 Montgomery	building with a large number of elevators
Budapest Police Headquarters Building	building with a large number of elevators
26 Nathan Road	building with a large number of elevators
88 Wood Street	building with a large number of elevators
Tour Pacific	building with a large number of elevators
First Federal Plaza	building with a large number of elevators
Tour Manhattan	building with a large number of elevators
Tour Lilleurope	building with a large number of elevators
Wells Fargo Center	building with a large number of elevators
Tour W	building with a large number of elevators
Zeiss Bau 59	building with a large number of elevators
Chongqing IFS T1	building with a large number of elevators
IFC One Saigon	building with a large number of elevators
Tour Neptune	building with a large number of elevators
Opus 12 Tower	building with a large number of elevators
Latitude	building with a large number of elevators
Elgin Tower Building	building with a large number of elevators
Média Center Campona	building with a large number of elevators
Tour Exaltis	building with a large number of elevators
New York Life Building	building with a large number of elevators
Strabag office building	building with a large number of elevators
Power Tower	building with a large number of elevators
The Oregonian Building	building with a large number of elevators
Tour Voltaire	building with a large number of elevators
Detroit Free Press Building	building with a large number of elevators
Elmbank Gardens	building with a large number of elevators
Raffles City Hangzhou	building with a large number of elevators
16 East Broad Street	building with a large number of elevators
Keystone Building	building with a large number of elevators
222 Main	building with a large number of elevators
Tour Emblem	building with a large number of elevators
Bastion Tower	building with a large number of elevators
American Insurance Company Building	building with a large number of elevators
1700 Market	building with a large number of elevators
Consultancy House	building with a large number of elevators
La Laurentienne Building	building with a large number of elevators
26 Journal Square	building with a large number of elevators
Q5818193	building with a large number of elevators
11 Westferry Circus	building with a large number of elevators
Spectrum	building with a large number of elevators
Valley National Bank Building	building with a large number of elevators
Pacific Building	building with a large number of elevators
Orpheum Lofts	building with a large number of elevators
Haus der Werbung	building with a large number of elevators
Phenix Building	building with a large number of elevators
200 Market	building with a large number of elevators
SunTrust Plaza	building with a large number of elevators
42 Broadway	building with a large number of elevators
Chusanren New Building	building with a large number of elevators
Ebisu Subaru Building	building with a large number of elevators
Shiroyama Trust Tower	building with a large number of elevators
Nissay Hirokoji Building	building with a large number of elevators
