United States of America	populous country
Israel	populous country
Russia	populous country
India	populous country
Germany	populous country
Japan	populous country
United Kingdom	populous country
Turkey	populous country
France	populous country
People's Republic of China	populous country
Morocco	populous country
Argentina	populous country
Canada	populous country
Australia	populous country
Italy	populous country
Spain	populous country
Brazil	populous country
Iran	populous country
Singapore	populous country
Netherlands	populous country
Switzerland	populous country
Saudi Arabia	populous country
Poland	populous country
Indonesia	populous country
Croatia	populous country
Pakistan	populous country
Egypt	populous country
South Korea	populous country
Taiwan	populous country
North Korea	populous country
South Africa	populous country
United Arab Emirates	populous country
Portugal	populous country
Mexico	populous country
Kazakhstan	populous country
Azerbaijan	populous country
Vietnam	populous country
Afghanistan	populous country
Sweden	populous country
New Zealand	populous country
Bangladesh	populous country
Albania	populous country
Philippines	populous country
Thailand	populous country
Qatar	populous country
Cyprus	populous country
England	populous country
Belgium	populous country
Greece	populous country
Norway	populous country
Finland	populous country
Czech Republic	populous country
Romania	populous country
Austria	populous country
Malaysia	populous country
Malta	populous country
Armenia	populous country
Lebanon	populous country
Kosovo	populous country
Iceland	populous country
Hungary	populous country
Denmark	populous country
Nigeria	populous country
Jordan	populous country
Belarus	populous country
Myanmar	populous country
Syria	populous country
Republic of Ireland	populous country
Colombia	populous country
Sri Lanka	populous country
Montenegro	populous country
Iraq	populous country
Algeria	populous country
Uzbekistan	populous country
Sudan	populous country
Cuba	populous country
Maldives	populous country
Bulgaria	populous country
Mongolia	populous country
Lithuania	populous country
Niger	populous country
Scotland	populous country
Venezuela	populous country
Nepal	populous country
Slovenia	populous country
Mauritius	populous country
Democratic Republic of the Congo	populous country
Ethiopia	populous country
Cambodia	populous country
Slovakia	populous country
Liechtenstein	populous country
Chile	populous country
Yemen	populous country
Estonia	populous country
Andorra	populous country
Peru	populous country
Kyrgyzstan	populous country
Libya	populous country
Dominican Republic	populous country
Cape Verde	populous country
North Macedonia	populous country
Oman	populous country
Latvia	populous country
Tunisia	populous country
Madagascar	populous country
Turkmenistan	populous country
Bahrain	populous country
Eritrea	populous country
Laos	populous country
Tanzania	populous country
Cameroon	populous country
Uruguay	populous country
Bhutan	populous country
Wales	populous country
Brunei	populous country
Guyana	populous country
Ecuador	populous country
Senegal	populous country
Bolivia	populous country
El Salvador	populous country
Costa Rica	populous country
South Sudan	populous country
Kenya	populous country
Haiti	populous country
Transnistria	populous country
Namibia	populous country
Tajikistan	populous country
Burkina Faso	populous country
Somalia	populous country
Ghana	populous country
Jamaica	populous country
Fiji	populous country
Seychelles	populous country
Mali	populous country
Papua New Guinea	populous country
Uganda	populous country
Ivory Coast	populous country
Angola	populous country
Northern Ireland	populous country
Zimbabwe	populous country
Mauritania	populous country
Guatemala	populous country
Rwanda	populous country
Republic of Artsakh	populous country
Nicaragua	populous country
The Bahamas	populous country
Gabon	populous country
Chad	populous country
Eswatini	populous country
Liberia	populous country
Paraguay	populous country
Honduras	populous country
East Timor	populous country
Benin	populous country
Mozambique	populous country
Aruba	populous country
Lesotho	populous country
Catalonia	populous country
Trinidad and Tobago	populous country
Burundi	populous country
Republic of the Congo	populous country
Djibouti	populous country
Sierra Leone	populous country
Botswana	populous country
Kingdom of the Netherlands	populous country
Nauru	populous country
Central African Republic	populous country
Samoa	populous country
Zambia	populous country
The Gambia	populous country
Palau	populous country
Kiribati	populous country
Vanuatu	populous country
Tuvalu	populous country
Togo	populous country
Saint Kitts and Nevis	populous country
Comoros	populous country
Grenada	populous country
Saint Lucia	populous country
Dominica	populous country
Malawi	populous country
Guinea-Bissau	populous country
Marshall Islands	populous country
Galicia	populous country
Solomon Islands	populous country
São Tomé and Príncipe	populous country
Antigua and Barbuda	populous country
Federated States of Micronesia	populous country
Cook Islands	populous country
Niue	populous country
Saint Vincent and the Grenadines	populous country
Kingdom of Denmark	populous country
Northern Mariana Islands	populous country
Sint Maarten	populous country
British North Borneo	populous country
Guinea	populous country
